Year,Team,GM,HiLvl,MLB.Years,Stat.Years,W,L,WPct,Rank,Playoffs
1952,NYG,Chub Feeney,---,"","",92,62,0.597,2,dnq
1951,NYG,Chub Feeney,---,"","",98,59,0.624,1,Lost World Series (Yankees)
1950,NYG,Chub Feeney,---,"","",86,68,0.558,3,dnq
2021,SEA,Jerry Dipoto,MLB,1993-2000,1988-2000,0,0,---,3,---
2020,SEA,Jerry Dipoto,MLB,1993-2000,1988-2000,27,33,0.45,3,dnq
2019,SEA,Jerry Dipoto,MLB,1993-2000,1988-2000,69,84,0.451,5,dnq
2018,SEA,Jerry Dipoto,MLB,1993-2000,1988-2000,89,73,0.549,3,dnq
2017,SEA,Jerry Dipoto,MLB,1993-2000,1988-2000,78,84,0.481,3,dnq
2016,SEA,Jerry Dipoto,MLB,1993-2000,1988-2000,86,76,0.531,2,dnq
2015,SEA,Jack Zduriencik,---,"","",76,86,0.469,4,dnq
2014,SEA,Jack Zduriencik,---,"","",87,75,0.537,3,dnq
2013,SEA,Jack Zduriencik,---,"","",71,91,0.438,4,dnq
2012,SEA,Jack Zduriencik,---,"","",75,87,0.463,4,dnq
2011,SEA,Jack Zduriencik,---,"","",67,95,0.414,4,dnq
2010,SEA,Jack Zduriencik,---,"","",61,101,0.377,4,dnq
2009,SEA,Jack Zduriencik,---,"","",85,77,0.525,3,dnq
2008,SEA,Lee Pelekoudas,---,"","",61,101,0.377,4,dnq
2007,SEA,Bill Bavasi,---,"","",88,74,0.543,2,dnq
2006,SEA,Bill Bavasi,---,"","",78,84,0.481,4,dnq
2005,SEA,Bill Bavasi,---,"","",69,93,0.426,4,dnq
2004,SEA,Bill Bavasi,---,"","",63,99,0.389,4,dnq
2003,SEA,Pat Gillick,---,"","",93,69,0.574,2,dnq
2002,SEA,Pat Gillick,---,"","",93,69,0.574,3,dnq
2001,SEA,Pat Gillick,---,"","",116,46,0.716,1,Lost ALCS (Yankees)
2000,SEA,Pat Gillick,---,"","",91,71,0.562,2,Lost ALCS (Yankees)
1999,SEA,Woody Woodward,MLB,1963-1971,1963-1971,79,83,0.488,3,dnq
1998,SEA,Woody Woodward,MLB,1963-1971,1963-1971,76,85,0.472,3,dnq
1997,SEA,Woody Woodward,MLB,1963-1971,1963-1971,90,72,0.556,1,Lost in 1st Round (Orioles)
1996,SEA,Woody Woodward,MLB,1963-1971,1963-1971,85,76,0.528,2,dnq
1995,SEA,Woody Woodward,MLB,1963-1971,1963-1971,79,66,0.545,1,Lost ALCS (Indians)
1994,SEA,Woody Woodward,MLB,1963-1971,1963-1971,49,63,0.438,3,dnq
1993,SEA,Woody Woodward,MLB,1963-1971,1963-1971,82,80,0.506,4,dnq
1992,SEA,Woody Woodward,MLB,1963-1971,1963-1971,64,98,0.395,7,dnq
1991,SEA,Woody Woodward,MLB,1963-1971,1963-1971,83,79,0.512,5,dnq
1990,SEA,Woody Woodward,MLB,1963-1971,1963-1971,77,85,0.475,5,dnq
1989,SEA,Woody Woodward,MLB,1963-1971,1963-1971,73,89,0.451,6,dnq
1988,SEA,Dick Balderson,---,"","",68,93,0.422,7,dnq
1987,SEA,Dick Balderson,---,"","",78,84,0.481,4,dnq
1986,SEA,Dick Balderson,---,"","",67,95,0.414,7,dnq
1985,SEA,Hal Keller,MLB,1949-1952,1949-1952,74,88,0.457,6,dnq
1984,SEA,Hal Keller,MLB,1949-1952,1949-1952,74,88,0.457,5,dnq
1983,SEA,Dan O'Brien,---,"","",60,102,0.37,7,dnq
1982,SEA,Dan O'Brien,---,"","",76,86,0.469,4,dnq
1981,SEA,Dan O'Brien,---,"","",44,65,0.404,0,dnq
1980,SEA,Lou Gorman,---,"","",59,103,0.364,7,dnq
1979,SEA,Lou Gorman,---,"","",67,95,0.414,6,dnq
1978,SEA,Lou Gorman,---,"","",56,104,0.35,7,dnq
1977,SEA,Lou Gorman,---,"","",64,98,0.395,6,dnq
2021,STL,Mike Girsch,---,"","",0,0,---,3,---
2020,STL,Mike Girsch,---,"","",30,26,0.536,3,Lost in Wild Card Series (Padres)
2019,STL,Mike Girsch,---,"","",91,71,0.562,1,Lost in NLCS (Nationals)
2018,STL,Mike Girsch,---,"","",88,74,0.543,3,dnq
2017,STL,John Mozeliak,---,"","",83,79,0.512,3,dnq
2017,STL,Mike Girsch,---,"","",83,79,0.512,3,dnq
2016,STL,John Mozeliak,---,"","",86,76,0.531,2,dnq
2015,STL,John Mozeliak,---,"","",100,62,0.617,1,Lost in 1st Round (Cubs)
2014,STL,John Mozeliak,---,"","",90,72,0.556,1,Lost in NLCS (Giants)
2013,STL,John Mozeliak,---,"","",97,65,0.599,1,Lost World Series (Red Sox)
2012,STL,John Mozeliak,---,"","",88,74,0.543,2,Lost in NLCS (Giants)
2011,STL,John Mozeliak,---,"","",90,72,0.556,2,Won World Series (Rangers)
2010,STL,John Mozeliak,---,"","",86,76,0.531,2,dnq
2009,STL,John Mozeliak,---,"","",91,71,0.562,1,Lost in NLDS (LA Dodgers)
2008,STL,John Mozeliak,---,"","",86,76,0.531,4,dnq
2007,STL,Walt Jocketty,---,"","",78,84,0.481,3,dnq
2006,STL,Walt Jocketty,---,"","",83,78,0.516,1,Won World Series (Tigers)
2005,STL,Walt Jocketty,---,"","",100,62,0.617,1,Lost NLCS (Astros)
2004,STL,Walt Jocketty,---,"","",105,57,0.648,1,Lost World Series (Red Sox)
2003,STL,Walt Jocketty,---,"","",85,77,0.525,3,dnq
2002,STL,Walt Jocketty,---,"","",97,65,0.599,1,Lost NLCS (Giants)
2001,STL,Walt Jocketty,---,"","",93,69,0.574,1,Lost in 1st Round (Diamondbacks)
2000,STL,Walt Jocketty,---,"","",95,67,0.586,1,Lost NLCS (Mets)
1999,STL,Walt Jocketty,---,"","",75,86,0.466,4,dnq
1998,STL,Walt Jocketty,---,"","",83,79,0.512,3,dnq
1997,STL,Walt Jocketty,---,"","",73,89,0.451,4,dnq
1996,STL,Walt Jocketty,---,"","",88,74,0.543,1,Lost NLCS (Braves)
1995,STL,Walt Jocketty,---,"","",62,81,0.434,4,dnq
1994,STL,Dal Maxvill,MLB,1962-1975,1962-1975,53,61,0.465,3,dnq
1993,STL,Dal Maxvill,MLB,1962-1975,1962-1975,87,75,0.537,3,dnq
1992,STL,Dal Maxvill,MLB,1962-1975,1962-1975,83,79,0.512,3,dnq
1991,STL,Dal Maxvill,MLB,1962-1975,1962-1975,84,78,0.519,2,dnq
1990,STL,Dal Maxvill,MLB,1962-1975,1962-1975,70,92,0.432,6,dnq
1989,STL,Dal Maxvill,MLB,1962-1975,1962-1975,86,76,0.531,3,dnq
1988,STL,Dal Maxvill,MLB,1962-1975,1962-1975,76,86,0.469,5,dnq
1987,STL,Dal Maxvill,MLB,1962-1975,1962-1975,95,67,0.586,1,Lost World Series (Twins)
1986,STL,Dal Maxvill,MLB,1962-1975,1962-1975,79,82,0.491,3,dnq
1985,STL,Dal Maxvill,MLB,1962-1975,1962-1975,101,61,0.623,1,Lost World Series (Cardinals)
1984,STL,Joe McDonald,---,"","",84,78,0.519,3,dnq
1983,STL,Joe McDonald,---,"","",79,83,0.488,4,dnq
1982,STL,Whitey Herzog,MLB,1956-1963,1956-1963,92,70,0.568,1,Won World Series (Brewers)
1981,STL,Whitey Herzog,MLB,1956-1963,1956-1963,59,43,0.578,0,dnq
1980,STL,John Claiborne,---,"","",74,88,0.457,4,dnq
1979,STL,John Claiborne,---,"","",86,76,0.531,3,dnq
1978,STL,Bing Devine,---,"","",69,93,0.426,5,dnq
1977,STL,Bing Devine,---,"","",83,79,0.512,3,dnq
1976,STL,Bing Devine,---,"","",72,90,0.444,5,dnq
1975,STL,Bing Devine,---,"","",82,80,0.506,4,dnq
1974,STL,Bing Devine,---,"","",86,75,0.534,2,dnq
1973,STL,Bing Devine,---,"","",81,81,0.5,2,dnq
1972,STL,Bing Devine,---,"","",75,81,0.481,4,dnq
1971,STL,Bing Devine,---,"","",90,72,0.556,2,dnq
1970,STL,Bing Devine,---,"","",76,86,0.469,4,dnq
1969,STL,Bing Devine,---,"","",87,75,0.537,4,dnq
1968,STL,Bing Devine,---,"","",97,65,0.599,1,Lost World Series (Tigers)
1967,STL,Stan Musial,MLB,1941-1963,1941-1963,101,60,0.627,1,Won World Series (Red Sox)
1966,STL,Bob Howsam,---,"","",83,79,0.512,6,dnq
1965,STL,Bob Howsam,---,"","",80,81,0.497,7,dnq
1964,STL,Bing Devine,---,"","",93,69,0.574,1,Won World Series (Yankees)
1963,STL,Bing Devine,---,"","",93,69,0.574,2,dnq
1962,STL,Bing Devine,---,"","",84,78,0.519,6,dnq
1961,STL,Bing Devine,---,"","",80,74,0.519,5,dnq
1960,STL,Bing Devine,---,"","",86,68,0.558,3,dnq
1959,STL,Bing Devine,---,"","",71,83,0.461,7,dnq
1958,STL,Bing Devine,---,"","",72,82,0.468,5,dnq
1957,STL,Frank Lane,---,"","",87,67,0.565,2,dnq
1956,STL,Frank Lane,---,"","",76,78,0.494,4,dnq
1955,STL,Dick Meyer,---,"","",68,86,0.442,7,dnq
1954,STL,Dick Meyer,---,"","",72,82,0.468,6,dnq
2021,TBR,Erik Neander,---,"","",0,0,---,1,---
2020,TBR,Erik Neander,---,"","",40,20,0.667,1,Lost World Series (Dodgers)
2019,TBR,Erik Neander,---,"","",96,66,0.593,2,Lost in 1st Round (Astros)
2018,TBR,Erik Neander,---,"","",90,72,0.556,3,dnq
2017,TBR,Erik Neander,---,"","",80,82,0.494,3,dnq
2016,TBR,Matt Silverman,---,"","",68,94,0.42,5,dnq
2015,TBR,Matt Silverman,---,"","",80,82,0.494,4,dnq
2014,TBR,Andrew Friedman,---,"","",77,85,0.475,4,dnq
2013,TBR,Andrew Friedman,---,"","",92,71,0.564,2,Lost in 1st Round (Red Sox)
2012,TBR,Andrew Friedman,---,"","",90,72,0.556,3,dnq
2011,TBR,Andrew Friedman,---,"","",91,71,0.562,2,Lost in 1st Round (Rangers)
2010,TBR,Andrew Friedman,---,"","",96,66,0.593,1,Lost in 1st Round (Rangers)
2009,TBR,Andrew Friedman,---,"","",84,78,0.519,3,dnq
2008,TBR,Andrew Friedman,---,"","",97,65,0.599,1,Lost World Series (Philadelphia)
2007,TBR,Andrew Friedman,---,"","",66,96,0.407,5,dnq
2006,TBR,Andrew Friedman,---,"","",61,101,0.377,5,dnq
2005,TBR,Chuck Lamar,---,"","",67,95,0.414,5,dnq
2004,TBR,Chuck Lamar,---,"","",70,91,0.435,4,dnq
2003,TBR,Chuck Lamar,---,"","",63,99,0.389,5,dnq
2002,TBR,Chuck Lamar,---,"","",55,106,0.342,5,dnq
2001,TBR,Chuck Lamar,---,"","",62,100,0.383,5,dnq
2000,TBR,Chuck Lamar,---,"","",69,92,0.429,5,dnq
1999,TBR,Chuck Lamar,---,"","",69,93,0.426,5,dnq
1998,TBR,Chuck Lamar,---,"","",63,99,0.389,5,dnq
2021,TEX,Chris Young,MLB,2004-2017,2000-2017,0,0,---,5,---
2020,TEX,Jon Daniels,---,"","",22,36,0.379,5,dnq
2019,TEX,Jon Daniels,---,"","",78,84,0.481,3,dnq
2018,TEX,Jon Daniels,---,"","",67,95,0.414,5,dnq
2017,TEX,Jon Daniels,---,"","",78,84,0.481,4,dnq
2016,TEX,Jon Daniels,---,"","",95,67,0.586,1,Lost in 1st Round (Blue Jays)
2015,TEX,Jon Daniels,---,"","",88,74,0.543,1,Lost in 1st Round (Blue Jays)
2014,TEX,Jon Daniels,---,"","",67,95,0.414,5,dnq
2013,TEX,Jon Daniels,---,"","",91,72,0.558,2,dnq
2012,TEX,Jon Daniels,---,"","",93,69,0.574,2,Lost AL Wild-Card Game (Orioles)
2011,TEX,Jon Daniels,---,"","",96,66,0.593,1,Lost World Series (Cardinals)
2010,TEX,Jon Daniels,---,"","",90,72,0.556,1,Lost World Series (Giants)
2009,TEX,Jon Daniels,---,"","",87,75,0.537,2,dnq
2008,TEX,Jon Daniels,---,"","",79,83,0.488,2,dnq
2007,TEX,Jon Daniels,---,"","",75,87,0.463,4,dnq
2006,TEX,Jon Daniels,---,"","",80,82,0.494,3,dnq
2005,TEX,John Hart,---,"","",79,83,0.488,3,dnq
2004,TEX,John Hart,---,"","",89,73,0.549,3,dnq
2003,TEX,John Hart,---,"","",71,91,0.438,4,dnq
2002,TEX,John Hart,---,"","",72,90,0.444,4,dnq
2001,TEX,Douglas Melvin,AA,"",1977-1978,73,89,0.451,4,dnq
2000,TEX,Douglas Melvin,AA,"",1977-1978,71,91,0.438,4,dnq
1999,TEX,Douglas Melvin,AA,"",1977-1978,95,67,0.586,1,Lost in 1st Round (Yankees)
1998,TEX,Douglas Melvin,AA,"",1977-1978,88,74,0.543,1,Lost in 1st Round (Yankees)
1997,TEX,Douglas Melvin,AA,"",1977-1978,77,85,0.475,3,dnq
1996,TEX,Douglas Melvin,AA,"",1977-1978,90,72,0.556,1,Lost in 1st Round (Yankees)
1995,TEX,Douglas Melvin,AA,"",1977-1978,74,70,0.514,3,dnq
1994,TEX,Tom Grieve,MLB,1970-1979,1970-1979,52,62,0.456,1,dnq
1993,TEX,Tom Grieve,MLB,1970-1979,1970-1979,86,76,0.531,2,dnq
1992,TEX,Tom Grieve,MLB,1970-1979,1970-1979,77,85,0.475,4,dnq
1991,TEX,Tom Grieve,MLB,1970-1979,1970-1979,85,77,0.525,3,dnq
1990,TEX,Tom Grieve,MLB,1970-1979,1970-1979,83,79,0.512,3,dnq
1989,TEX,Tom Grieve,MLB,1970-1979,1970-1979,83,79,0.512,4,dnq
1988,TEX,Tom Grieve,MLB,1970-1979,1970-1979,70,91,0.435,6,dnq
1987,TEX,Tom Grieve,MLB,1970-1979,1970-1979,75,87,0.463,6,dnq
1986,TEX,Tom Grieve,MLB,1970-1979,1970-1979,87,75,0.537,2,dnq
1985,TEX,Tom Grieve,MLB,1970-1979,1970-1979,62,99,0.385,7,dnq
1984,TEX,Joe Klein,---,"","",69,92,0.429,7,dnq
1983,TEX,Joe Klein,---,"","",77,85,0.475,3,dnq
1982,TEX,Eddie Robinson,MLB,1942-1957,1942-1957,64,98,0.395,6,dnq
1981,TEX,Eddie Robinson,MLB,1942-1957,1942-1957,57,48,0.543,0,dnq
1980,TEX,Eddie Robinson,MLB,1942-1957,1942-1957,76,85,0.472,4,dnq
1979,TEX,Eddie Robinson,MLB,1942-1957,1942-1957,83,79,0.512,3,dnq
1978,TEX,Dan O'Brien,---,"","",87,75,0.537,2,dnq
1977,TEX,Dan O'Brien,---,"","",94,68,0.58,2,dnq
1976,TEX,Dan O'Brien,---,"","",76,86,0.469,4,dnq
1975,TEX,Dan O'Brien,---,"","",79,83,0.488,3,dnq
1974,TEX,Dan O'Brien,---,"","",84,76,0.525,2,dnq
1973,TEX,Joe Burke,---,"","",57,105,0.352,6,dnq
1972,TEX,Joe Burke,---,"","",54,100,0.351,6,dnq
1971,WAS,Bob Short,---,"","",63,96,0.396,5,dnq
1970,WAS,Bob Short,---,"","",70,92,0.432,6,dnq
1969,WAS,Bob Short,---,"","",86,76,0.531,4,dnq
1968,WAS,George Selkirk,MLB,1934-1942,1934-1942,65,96,0.404,10,dnq
1967,WAS,George Selkirk,MLB,1934-1942,1934-1942,76,85,0.472,6,dnq
1966,WAS,George Selkirk,MLB,1934-1942,1934-1942,71,88,0.447,8,dnq
1965,WAS,George Selkirk,MLB,1934-1942,1934-1942,70,92,0.432,8,dnq
1964,WAS,George Selkirk,MLB,1934-1942,1934-1942,62,100,0.383,9,dnq
1963,WAS,George Selkirk,MLB,1934-1942,1934-1942,56,106,0.346,10,dnq
1962,WAS,Ed Doherty,---,"","",60,101,0.373,10,dnq
1961,WAS,Ed Doherty,---,"","",61,100,0.379,9,dnq
2021,TOR,Ross Atkins,AA,"",1993-1999,0,0,---,3,---
2020,TOR,Ross Atkins,AA,"",1993-1999,32,28,0.533,3,Lost in Wild Card Series (Rays)
2019,TOR,Ross Atkins,AA,"",1993-1999,67,95,0.414,4,dnq
2018,TOR,Ross Atkins,AA,"",1993-1999,73,89,0.451,4,dnq
2017,TOR,Ross Atkins,AA,"",1993-1999,76,86,0.469,4,dnq
2016,TOR,Ross Atkins,AA,"",1993-1999,89,73,0.549,3,Lost in ALCS (Indians)
2015,TOR,Alex Anthopoulos,---,"","",93,69,0.574,1,Lost in ALCS (Royals)
2014,TOR,Alex Anthopoulos,---,"","",83,79,0.512,3,dnq
2013,TOR,Alex Anthopoulos,---,"","",74,88,0.457,5,dnq
2012,TOR,Alex Anthopoulos,---,"","",73,89,0.451,4,dnq
2011,TOR,Alex Anthopoulos,---,"","",81,81,0.5,4,dnq
2010,TOR,Alex Anthopoulos,---,"","",85,77,0.525,4,dnq
2009,TOR,JP Ricciardi,A,"",1980-1981,75,87,0.463,4,dnq
2008,TOR,JP Ricciardi,A,"",1980-1981,86,76,0.531,4,dnq
2007,TOR,JP Ricciardi,A,"",1980-1981,83,79,0.512,3,dnq
2006,TOR,JP Ricciardi,A,"",1980-1981,87,75,0.537,2,dnq
2005,TOR,JP Ricciardi,A,"",1980-1981,80,82,0.494,3,dnq
2004,TOR,JP Ricciardi,A,"",1980-1981,67,94,0.416,5,dnq
2003,TOR,JP Ricciardi,A,"",1980-1981,86,76,0.531,3,dnq
2002,TOR,JP Ricciardi,A,"",1980-1981,78,84,0.481,3,dnq
2001,TOR,Gord Ash,---,"","",80,82,0.494,3,dnq
2000,TOR,Gord Ash,---,"","",83,79,0.512,3,dnq
1999,TOR,Gord Ash,---,"","",84,78,0.519,3,dnq
1998,TOR,Gord Ash,---,"","",88,74,0.543,3,dnq
1997,TOR,Gord Ash,---,"","",76,86,0.469,5,dnq
1996,TOR,Gord Ash,---,"","",74,88,0.457,4,dnq
1995,TOR,Gord Ash,---,"","",56,88,0.389,5,dnq
1994,TOR,Pat Gillick,---,"","",55,60,0.478,3,dnq
1993,TOR,Pat Gillick,---,"","",95,67,0.586,1,Won World Series (Phillies)
1992,TOR,Pat Gillick,---,"","",96,66,0.593,1,Won World Series (Braves)
1991,TOR,Pat Gillick,---,"","",91,71,0.562,1,Lost ALCS (Twins)
1990,TOR,Pat Gillick,---,"","",86,76,0.531,2,dnq
1989,TOR,Pat Gillick,---,"","",89,73,0.549,1,Lost ALCS (Athletics)
1988,TOR,Pat Gillick,---,"","",87,75,0.537,3,dnq
1987,TOR,Pat Gillick,---,"","",96,66,0.593,2,dnq
1986,TOR,Pat Gillick,---,"","",86,76,0.531,4,dnq
1985,TOR,Pat Gillick,---,"","",99,62,0.615,1,Lost ALCS (Royals)
1984,TOR,Pat Gillick,---,"","",89,73,0.549,2,dnq
1983,TOR,Pat Gillick,---,"","",89,73,0.549,4,dnq
1982,TOR,Pat Gillick,---,"","",78,84,0.481,6,dnq
1981,TOR,Pat Gillick,---,"","",37,69,0.349,0,dnq
1980,TOR,Pat Gillick,---,"","",67,95,0.414,7,dnq
1979,TOR,Pat Gillick,---,"","",53,109,0.327,7,dnq
1978,TOR,Pat Gillick,---,"","",59,102,0.366,7,dnq
1977,TOR,Buzzie Bavasi,---,"","",54,107,0.335,7,dnq
2021,WSN,Michael Rizzo,A+,"",1982-1984,0,0,---,5,---
2020,WSN,Michael Rizzo,A+,"",1982-1984,26,34,0.433,5,dnq
2020,WSN,Michael Rizzo,A+,"",1982-1984,26,34,0.433,5,dnq
2019,WSN,Michael Rizzo,A+,"",1982-1984,93,69,0.574,2,Won World Series (Astros)
2018,WSN,Michael Rizzo,A+,"",1982-1984,82,80,0.506,2,dnq
2017,WSN,Michael Rizzo,A+,"",1982-1984,97,65,0.599,1,Lost in 1st Round (Cubs)
2016,WSN,Michael Rizzo,A+,"",1982-1984,95,67,0.586,1,Lost in 1st Round (Dodgers)
2015,WSN,Michael Rizzo,A+,"",1982-1984,83,79,0.512,2,dnq
2014,WSN,Michael Rizzo,A+,"",1982-1984,96,66,0.593,1,Lost in 1st Round (Giants)
2013,WSN,Michael Rizzo,A+,"",1982-1984,86,76,0.531,2,dnq
2012,WSN,Michael Rizzo,A+,"",1982-1984,98,64,0.605,1,Lost in 1st Round (Cardinals)
2011,WSN,Michael Rizzo,A+,"",1982-1984,80,81,0.497,3,dnq
2010,WSN,Michael Rizzo,A+,"",1982-1984,69,93,0.426,5,dnq
2009,WSN,Michael Rizzo,A+,"",1982-1984,59,103,0.364,5,dnq
2008,WSN,Jim Bowden,---,"","",59,102,0.366,5,dnq
2007,WSN,Jim Bowden,---,"","",73,89,0.451,4,dnq
2006,WSN,Jim Bowden,---,"","",71,91,0.438,5,dnq
2005,WSN,Jim Bowden,---,"","",81,81,0.5,5,dnq
2004,MON,Omar Minaya,A,"",1978-1981,67,95,0.414,5,dnq
2003,MON,Omar Minaya,A,"",1978-1981,83,79,0.512,4,dnq
2002,MON,Omar Minaya,A,"",1978-1981,83,79,0.512,2,dnq
2001,MON,Jim Beattie,MLB,1978-1986,1976-1986,68,94,0.42,5,dnq
2000,MON,Jim Beattie,MLB,1978-1986,1976-1986,67,95,0.414,4,dnq
1999,MON,Jim Beattie,MLB,1978-1986,1976-1986,68,94,0.42,4,dnq
1998,MON,Jim Beattie,MLB,1978-1986,1976-1986,65,97,0.401,4,dnq
1997,MON,Jim Beattie,MLB,1978-1986,1976-1986,78,84,0.481,4,dnq
1996,MON,Jim Beattie,MLB,1978-1986,1976-1986,88,74,0.543,2,dnq
1995,MON,Kevin Malone,A-,"",1979-1980,66,78,0.458,5,dnq
1994,MON,Kevin Malone,A-,"",1979-1980,74,40,0.649,1,dnq
1993,MON,Dan Duquette,---,"","",94,68,0.58,2,dnq
1992,MON,Dan Duquette,---,"","",87,75,0.537,2,dnq
1991,MON,Dave Dombrowski,---,"","",71,90,0.441,6,dnq
1990,MON,Dave Dombrowski,---,"","",85,77,0.525,3,dnq
1989,MON,Dave Dombrowski,---,"","",81,81,0.5,4,dnq
1988,MON,Bill Stoneman,MLB,1967-1974,1967-1974,81,81,0.5,3,dnq
1987,MON,Murray Cook,---,"","",91,71,0.562,3,dnq
1986,MON,Murray Cook,---,"","",78,83,0.484,4,dnq
1985,MON,Murray Cook,---,"","",84,77,0.522,3,dnq
1984,MON,John McHale,MLB,1943-1948,1943-1948,78,83,0.484,5,dnq
1983,MON,John McHale,MLB,1943-1948,1943-1948,82,80,0.506,3,dnq
1982,MON,John McHale,MLB,1943-1948,1943-1948,86,76,0.531,3,dnq
1981,MON,John McHale,MLB,1943-1948,1943-1948,60,48,0.556,0,Lost NLCS (Dodgers)
1980,MON,John McHale,MLB,1943-1948,1943-1948,90,72,0.556,2,dnq
1979,MON,John McHale,MLB,1943-1948,1943-1948,95,65,0.594,2,dnq
1978,MON,Charlie Fox,MLB,1942-1942,1942-1942,76,86,0.469,4,dnq
1977,MON,Charlie Fox,MLB,1942-1942,1942-1942,75,87,0.463,5,dnq
1976,MON,Jim Fanning,MLB,1954-1957,1954-1957,55,107,0.34,6,dnq
1975,MON,Jim Fanning,MLB,1954-1957,1954-1957,75,87,0.463,5,dnq
1974,MON,Jim Fanning,MLB,1954-1957,1954-1957,79,82,0.491,4,dnq
1973,MON,Jim Fanning,MLB,1954-1957,1954-1957,79,83,0.488,4,dnq
1972,MON,Jim Fanning,MLB,1954-1957,1954-1957,70,86,0.449,5,dnq
1971,MON,Jim Fanning,MLB,1954-1957,1954-1957,71,90,0.441,5,dnq
1970,MON,Jim Fanning,MLB,1954-1957,1954-1957,73,89,0.451,6,dnq
1969,MON,Jim Fanning,MLB,1954-1957,1954-1957,52,110,0.321,6,dnq
2021,CHW,Rick Hahn,---,"","",0,0,---,3,---
2020,CHW,Rick Hahn,---,"","",35,25,0.583,3,Lost in Wild Card Series (Athletics)
2019,CHW,Rick Hahn,---,"","",72,89,0.447,3,dnq
2018,CHW,Rick Hahn,---,"","",62,100,0.383,4,dnq
2017,CHW,Rick Hahn,---,"","",67,95,0.414,4,dnq
2016,CHW,Rick Hahn,---,"","",78,84,0.481,4,dnq
2015,CHW,Rick Hahn,---,"","",76,86,0.469,4,dnq
2014,CHW,Rick Hahn,---,"","",73,89,0.451,4,dnq
2013,CHW,Rick Hahn,---,"","",63,99,0.389,5,dnq
2012,CHW,Kenny Williams,MLB,1986-1991,1982-1992,85,77,0.525,2,dnq
2011,CHW,Kenny Williams,MLB,1986-1991,1982-1992,79,83,0.488,3,dnq
2010,CHW,Kenny Williams,MLB,1986-1991,1982-1992,88,74,0.543,2,dnq
2009,CHW,Ken Williams,MLB,1915-1929,1915-1929,79,83,0.488,3,dnq
2008,CHW,Ken Williams,MLB,1915-1929,1915-1929,89,74,0.546,1,Lost in 1st Round (Rays)
2007,CHW,Ken Williams,MLB,1915-1929,1915-1929,72,90,0.444,4,dnq
2006,CHW,Ken Williams,MLB,1915-1929,1915-1929,90,72,0.556,3,dnq
2005,CHW,Ken Williams,MLB,1915-1929,1915-1929,99,63,0.611,1,Won World Series (Astros)
2004,CHW,Ken Williams,MLB,1915-1929,1915-1929,83,79,0.512,2,dnq
2003,CHW,Ken Williams,MLB,1915-1929,1915-1929,86,76,0.531,2,dnq
2002,CHW,Ken Williams,MLB,1915-1929,1915-1929,81,81,0.5,2,dnq
2001,CHW,Ken Williams,MLB,1915-1929,1915-1929,83,79,0.512,3,dnq
2000,CHW,Ron Schueler,MLB,1972-1979,1972-1979,95,67,0.586,1,Lost in 1st Round (Mariners)
1999,CHW,Ron Schueler,MLB,1972-1979,1972-1979,75,86,0.466,2,dnq
1998,CHW,Ron Schueler,MLB,1972-1979,1972-1979,80,82,0.494,2,dnq
1997,CHW,Ron Schueler,MLB,1972-1979,1972-1979,80,81,0.497,2,dnq
1996,CHW,Ron Schueler,MLB,1972-1979,1972-1979,85,77,0.525,2,dnq
1995,CHW,Ron Schueler,MLB,1972-1979,1972-1979,68,76,0.472,3,dnq
1994,CHW,Ron Schueler,MLB,1972-1979,1972-1979,67,46,0.593,1,dnq
1993,CHW,Ron Schueler,MLB,1972-1979,1972-1979,94,68,0.58,1,Lost ALCS (Blue Jays)
1992,CHW,Ron Schueler,MLB,1972-1979,1972-1979,86,76,0.531,3,dnq
1991,CHW,Ron Schueler,MLB,1972-1979,1972-1979,87,75,0.537,2,dnq
1990,CHW,Larry Himes,---,"","",94,68,0.58,2,dnq
1989,CHW,Larry Himes,---,"","",69,92,0.429,7,dnq
1988,CHW,Larry Himes,---,"","",71,90,0.441,5,dnq
1987,CHW,Larry Himes,---,"","",77,85,0.475,5,dnq
1986,CHW,Ken Harrelson,MLB,1963-1971,1963-1971,72,90,0.444,5,dnq
1985,CHW,Roland Hemond,---,"","",85,77,0.525,3,dnq
1984,CHW,Roland Hemond,---,"","",74,88,0.457,6,dnq
1983,CHW,Roland Hemond,---,"","",99,63,0.611,1,Lost ALCS (Orioles)
1982,CHW,Roland Hemond,---,"","",87,75,0.537,3,dnq
1981,CHW,Roland Hemond,---,"","",54,52,0.509,0,dnq
1980,CHW,Roland Hemond,---,"","",70,90,0.438,5,dnq
1979,CHW,Roland Hemond,---,"","",73,87,0.456,5,dnq
1978,CHW,Roland Hemond,---,"","",71,90,0.441,5,dnq
1977,CHW,Roland Hemond,---,"","",90,72,0.556,3,dnq
1976,CHW,Roland Hemond,---,"","",64,97,0.398,6,dnq
1975,CHW,Roland Hemond,---,"","",75,86,0.466,5,dnq
1974,CHW,Roland Hemond,---,"","",80,80,0.5,4,dnq
1973,CHW,Roland Hemond,---,"","",77,85,0.475,5,dnq
1973,CHW,Stu Holcomb,---,"","",77,85,0.475,5,dnq
1972,CHW,Stu Holcomb,---,"","",87,67,0.565,2,dnq
1971,CHW,Stu Holcomb,---,"","",79,83,0.488,3,dnq
1970,CHW,Ed Short,---,"","",56,106,0.346,6,dnq
1969,CHW,Ed Short,---,"","",68,94,0.42,5,dnq
